"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Quota che lavora, per genere (%)";" ";" ";" ";" "
"Uomini";"71,5";"53,8";"76,1";"97,6"
"Donne";"65,6";"47,3";"68,7";"96,1"
"Esperienze di lavoro post-laurea (%)";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"14,4";"15,3";"14,8";"3,3"
"Non hanno mai lavorato dopo la laurea";"17,7";"35,0";"13,5";"0,5"
"Tasso di occupazione ";"79,9";"72,6";"81,2";"96,3"
"Tasso di disoccupazione ";"13,5";"16,0";"13,5";"1,7"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di occupati";"45812";"7427";"35629";"2756"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"20,1";"8,3";"22,3";"24,3"
"Non proseguono il lavoro iniziato prima della laurea";"18,3";"15,2";"18,4";"25,0"
"Hanno iniziato a lavorare dopo la laurea";"61,5";"76,4";"59,2";"50,7"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,9";"3,0";"1,7";"1,3"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"5,8";"5,8";"6,0";"3,6"
"Tempo dalla laurea al reperimento del primo lavoro";"7,8";"9,0";"7,7";"4,9"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" "
"Autonomo effettivo";"17,8";"38,5";"14,8";"0,2"
"Tempo indeterminato";"35,4";"21,4";"38,6";"32,0"
"Totale stabile ";"53,2";"59,9";"53,5";"32,1"
"Contratti formativi ";"8,7";"5,9";"9,9";"0,2"
"Non standard ";"22,2";"16,3";"20,0";"66,7"
"Parasubordinato ";"7,2";"3,7";"8,5";"0,2"
"Altro autonomo ";"4,6";"7,1";"4,5";"0,4"
"Senza contratto";"3,8";"6,8";"3,5";"0,3"
"Diffusione del part-time (%)";"23,4";"26,2";"23,7";"12,0"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Settore di attività (%)";" ";" ";" ";" "
"Pubblico";"21,6";"15,0";"18,0";"86,4"
"Privato";"73,4";"83,8";"75,9";"12,7"
"Non profit";"4,9";"1,1";"6,0";"0,9"
"Ramo di attività economica (%)";" ";" ";" ";" "
"Agricoltura";"1,1";"0,7";"1,2";"-"
"Metalmeccanica e meccanica di precisione";"4,9";"0,7";"6,2";"0,1"
"Edilizia ";"5,4";"9,7";"4,9";"-"
"Chimica/Energia ";"4,3";"3,4";"4,8";"-"
"Altra industria manifatturiera ";"4,5";"1,2";"5,5";"0,1"
"Totale industria";"19,1";"15,0";"21,4";"0,2"
"Commercio ";"10,6";"20,5";"9,4";"0,3"
"Credito, assicurazioni";"4,2";"2,9";"4,8";"0,1"
"Trasporti, pubblicità, comunicazioni ";"4,8";"1,4";"5,8";"0,4"
"Consulenze varie ";"15,0";"27,9";"13,4";"0,1"
"Informatica";"3,9";"0,4";"5,0";"0,1"
"Altri servizi alle imprese";"2,3";"1,2";"2,7";"-"
"Pubblica amministrazione, forze armate";"4,7";"3,4";"5,2";"1,9"
"Istruzione e ricerca";"15,7";"2,4";"12,4";"94,8"
"Sanità";"8,3";"20,6";"6,4";"0,2"
"Altri servizi ";"8,9";"2,5";"10,8";"1,9"
"Totale servizi";"78,5";"83,2";"75,8";"99,7"
"7. Retribuzione"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1336";"1221";"1357";"1251"
"Donne";"1063";"1060";"1049";"1178"
"Totale";"1173";"1123";"1183";"1182"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"44,2";"54,6";"41,1";"72,0"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"11,8";"15,2";"10,6";"17,6"
"Nella posizione lavorativa";"24,4";"27,7";"22,1";"38,2"
"Nelle mansioni svolte";"9,8";"11,3";"10,7";"2,9"
"Nelle competenze professionali";"53,0";"45,8";"55,8";"39,4"
"Sotto altri punti di vista";"0,9";"-";"0,9";"1,9"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"47,7";"65,5";"41,5";"79,5"
"In misura ridotta";"39,2";"28,0";"43,1";"18,9"
"Per niente";"13,1";"6,5";"15,3";"1,6"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"35,8";"73,8";"23,8";"89,1"
"Non richiesta ma necessaria";"17,6";"8,5";"20,5";"4,1"
"Non richiesta ma utile";"33,8";"12,4";"40,5";"5,5"
"Non richiesta né utile";"12,8";"5,2";"15,2";"1,3"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"57,4";"82,7";"49,1";"95,9"
"Abbastanza efficace";"26,6";"10,8";"31,8";"2,7"
"Poco/Per nulla efficace";"15,9";"6,5";"19,1";"1,5"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,4";"7,4";"7,3";"9,0"
"Occupati che cercano lavoro (%)";"35,8";"33,2";"38,3";"10,0"
"10. Ricerca del lavoro"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di non occupati che cercano lavoro";"12401";"3119";"9229";"53"
"Non occupati che cercano: ultima iniziativa per cercare lavoro (%)";" ";" ";" ";" "
"Ultimi 15 giorni";"68,4";"63,3";"70,2";"58,5"
"15-30 giorni fa";"15,1";"15,7";"14,9";"13,2"
"1-6 mesi fa";"12,9";"16,5";"11,6";"17,0"
"Oltre 6 mesi fa";"3,4";"4,4";"3,1";"9,4"
"Numero di non occupati che non cercano lavoro";"9275";"4422";"4795";"58"
"Non occupati che non cercano: motivo della non ricerca (%)";" ";" ";" ";" "
"Studio";"80,9";"86,8";"76,2";"12,1"
"In attesa di chiamata dal datore di lavoro ";"8,4";"8,3";"8,2";"43,1"
"Motivi personali";"7,9";"3,3";"11,7";"37,9"
"Mancanza di opportunità lavorative";"1,8";"1,1";"2,5";"1,7"
"Altro motivo";"0,5";"0,2";"0,9";"-"
