"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Altra industria manifatturiera ";"4,9";"1,7";"6,0";"0,1"
"Totale industria";"20,1";"15,2";"22,6";"0,3"
"Commercio ";"10,9";"20,9";"8,9";"0,3"
"Credito, assicurazioni";"4,7";"4,0";"5,2";"0,1"
"Trasporti, pubblicità, comunicazioni ";"4,5";"1,6";"5,5";"0,3"
"Consulenze varie ";"15,9";"29,3";"13,4";"0,2"
"Informatica";"3,8";"0,4";"5,0";"-"
"Altri servizi alle imprese";"2,6";"1,5";"3,0";"0,0"
"Pubblica amministrazione, forze armate";"3,6";"3,3";"3,9";"0,8"
"Istruzione e ricerca ";"15,5";"2,7";"14,1";"96,1"
"Sanità";"7,4";"16,5";"5,4";"0,2"
"Altri servizi ";"8,4";"2,7";"10,3";"1,2"
"Totale servizi";"77,5";"83,0";"74,7";"99,2"
"Area geografica di lavoro (%)";" ";" ";" ";" "
"Nord-Ovest";"27,3";"24,7";"27,9";"26,7"
"Nord-Est";"22,3";"19,9";"22,5";"30,0"
"Centro";"22,3";"21,5";"22,5";"22,5"
"Sud";"16,2";"19,6";"15,3";"15,1"
"Isole";"6,6";"9,3";"6,1";"4,4"
"Estero";"5,0";"4,6";"5,4";"0,9"
"7. Retribuzione"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1421";"1345";"1439";"1321"
"Donne";"1162";"1161";"1152";"1253"
"Totale";"1268";"1231";"1278";"1256"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"45,0";"48,6";"42,7";"70,9"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"10,4";"15,5";"9,7";"10,6"
"Nella posizione lavorativa";"27,3";"27,3";"25,8";"39,6"
"Nelle mansioni svolte";"11,5";"14,5";"11,8";"6,4"
"Nelle competenze professionali";"49,8";"42,4";"51,5";"42,8"
"Sotto altri punti di vista";"1,0";"0,3";"1,2";"0,5"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"49,3";"64,0";"43,5";"82,2"
"In misura ridotta";"39,4";"28,6";"43,7";"16,2"
"Per niente";"11,1";"7,2";"12,7";"1,5"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" "
"Molto adeguata";"51,4";"57,3";"48,2";"79,6"
"Poco adeguata";"38,3";"34,3";"40,5";"18,6"
"Per niente adeguata";"10,2";"8,2";"11,2";"1,6"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"38,2";"70,3";"26,9";"87,1"
"Non richiesta ma necessaria";"19,6";"10,7";"22,7";"6,2"
"Non richiesta ma utile";"31,7";"13,2";"38,2";"5,5"
"Non richiesta né utile";"10,3";"5,6";"12,1";"1,0"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"59,5";"80,1";"51,9";"95,3"
"Abbastanza efficace";"27,4";"12,8";"32,7";"3,4"
"Poco/Per nulla efficace";"13,1";"7,1";"15,4";"1,3"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,5";"7,5";"7,4";"8,8"
"Occupati che cercano lavoro (%)";"30,9";"29,7";"32,4";"12,0"
"10. Ricerca del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di non occupati che cercano lavoro";"12646";"3760";"8776";"110"
"Non occupati che cercano: ultima iniziativa per cercare lavoro (%)";" ";" ";" ";" "
"Ultimi 15 giorni";"66,2";"60,5";"68,8";"50,0"
"15-30 giorni fa";"14,6";"15,2";"14,4";"12,7"
"1-6 mesi fa";"13,7";"18,0";"11,8";"20,9"
"Oltre 6 mesi fa";"4,6";"5,6";"4,1";"16,4"
"Numero di non occupati che non cercano lavoro";"13689";"6653";"6928";"108"
"Non occupati che non cercano: motivo della non ricerca (%)";" ";" ";" ";" "
"Studio";"75,6";"82,4";"69,9";"18,5"
"In attesa di chiamata dal datore di lavoro ";"13,4";"12,2";"14,0";"51,9"
"Motivi personali";"8,7";"4,3";"12,6";"28,7"
"Mancanza di opportunità lavorative";"1,2";"0,8";"1,5";"-"
"Altro motivo";"0,9";"0,2";"1,7";"-"
