"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" "
"Molto adeguata";"60,3";"64,5";"58,8";"80,5"
"Poco adeguata";"33,0";"29,9";"34,2";"17,5"
"Per niente adeguata";"6,6";"5,6";"7,0";"2,0"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"42,0";"70,1";"32,6";"82,1"
"Non richiesta ma necessaria";"23,4";"12,5";"27,0";"8,0"
"Non richiesta ma utile";"28,4";"13,6";"33,3";"7,2"
"Non richiesta né utile";"6,2";"3,7";"7,0";"2,8"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"65,2";"81,5";"59,6";"92,0"
"Abbastanza efficace";"25,9";"13,1";"30,2";"5,6"
"Poco/Per nulla efficace";"8,9";"5,4";"10,1";"2,4"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,8";"7,9";"7,7";"8,9"
"Occupati che cercano lavoro (%)";"24,0";"21,4";"24,9";"7,2"
"10. Ricerca del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di non occupati che cercano lavoro";"8554";"2923";"5624";"7"
"Non occupati che cercano: ultima iniziativa per cercare lavoro (%)";" ";" ";" ";" "
"Ultimi 15 giorni";"60,0";"56,9";"61,7";"42,9"
"15-30 giorni fa";"18,4";"18,1";"18,5";"28,6"
"1-6 mesi fa";"16,6";"19,2";"15,3";"14,3"
"Oltre 6 mesi fa";"4,6";"5,3";"4,2";"14,3"
"Numero di non occupati che non cercano lavoro";"13114";"6941";"6164";"9"
"Non occupati che non cercano: motivo della non ricerca (%)";" ";" ";" ";" "
"Studio";"79,5";"85,2";"73,2";"22,2"
"In attesa di chiamata dal datore di lavoro ";"11,0";"9,9";"12,2";"33,3"
"Motivi personali";"5,9";"3,3";"8,9";"33,3"
"Mancanza di opportunità lavorative";"0,9";"0,5";"1,3";"-"
"Altro motivo";"2,5";"1,0";"4,2";"-"
