"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Commercio ";"10,1";"17,1";"8,0";"0,4"
"Credito, assicurazioni";"5,1";"5,0";"5,3";"-"
"Trasporti, pubblicità, comunicazioni ";"4,7";"2,2";"5,6";"0,2"
"Consulenze varie ";"15,3";"24,2";"12,7";"-"
"Informatica";"4,3";"0,8";"5,5";"-"
"Altri servizi alle imprese";"2,4";"1,6";"2,7";"0,2"
"Pubblica amministrazione, forze armate";"3,7";"5,3";"3,2";"2,2"
"Istruzione e ricerca ";"14,8";"8,9";"15,8";"95,1"
"Sanità";"7,6";"14,9";"5,3";"-"
"Altri servizi ";"7,4";"2,3";"9,1";"1,6"
"Totale servizi";"75,6";"82,2";"73,2";"99,6"
"Area geografica di lavoro (%)";" ";" ";" ";" "
"Nord-Ovest";"29,3";"27,1";"30,0";"25,7"
"Nord-Est";"22,5";"19,9";"23,3";"21,0"
"Centro";"21,8";"21,8";"21,8";"28,1"
"Sud";"15,1";"18,6";"14,0";"18,5"
"Isole";"6,1";"8,2";"5,4";"5,7"
"Estero";"5,0";"4,1";"5,4";"0,4"
"7. Retribuzione"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1530";"1516";"1534";"1396"
"Donne";"1277";"1318";"1262";"1306"
"Totale";"1382";"1388";"1381";"1311"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"53,0";"60,0";"51,3";"79,0"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"15,1";"18,3";"14,6";"10,6"
"Nella posizione lavorativa";"28,9";"31,9";"27,8";"42,5"
"Nelle mansioni svolte";"11,4";"12,2";"11,6";"2,7"
"Nelle competenze professionali";"43,8";"36,9";"45,2";"41,6"
"Sotto altri punti di vista";"0,8";"0,7";"0,8";"2,7"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"51,7";"64,3";"47,3";"85,1"
"In misura ridotta";"39,1";"29,3";"42,5";"13,9"
"Per niente";"9,1";"6,3";"10,1";"0,8"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" "
"Molto adeguata";"57,6";"60,4";"56,4";"84,7"
"Poco adeguata";"34,6";"32,4";"35,5";"14,3"
"Per niente adeguata";"7,7";"7,1";"8,0";"0,8"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"41,7";"67,8";"32,9";"86,1"
"Non richiesta ma necessaria";"22,0";"12,7";"25,1";"7,3"
"Non richiesta ma utile";"28,9";"15,1";"33,6";"5,7"
"Non richiesta né utile";"7,3";"4,4";"8,4";"0,6"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"63,2";"79,2";"57,6";"96,8"
"Abbastanza efficace";"26,7";"14,8";"30,9";"2,4"
"Poco/Per nulla efficace";"10,1";"6,0";"11,5";"0,8"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,6";"7,7";"7,6";"8,8"
"Occupati che cercano lavoro (%)";"26,5";"24,4";"27,4";"9,4"
"10. Ricerca del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di non occupati che cercano lavoro";"9182";"3190";"5973";"19"
"Non occupati che cercano: ultima iniziativa per cercare lavoro (%)";" ";" ";" ";" "
"Ultimi 15 giorni";"63,1";"60,5";"64,5";"47,4"
"15-30 giorni fa";"17,2";"17,5";"17,0";"26,3"
"1-6 mesi fa";"14,7";"16,7";"13,6";"21,1"
"Oltre 6 mesi fa";"4,5";"5,0";"4,2";"5,3"
"Numero di non occupati che non cercano lavoro";"13696";"7374";"6296";"26"
"Non occupati che non cercano: motivo della non ricerca (%)";" ";" ";" ";" "
"Studio";"80,3";"86,4";"73,5";"19,2"
"In attesa di chiamata dal datore di lavoro ";"11,6";"9,4";"14,1";"42,3"
"Motivi personali";"6,3";"3,3";"9,8";"34,6"
"Mancanza di opportunità lavorative";"0,8";"0,5";"1,1";"-"
"Altro motivo";"0,8";"0,3";"1,3";"-"
