"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)(1) "
"Tempo indeterminato ";"43,3";"30,0";"47,8";"48,1"
"Contratti formativi ";"8,1";"6,0";"8,9";"-"
"Non standard ";"26,3";"26,9";"26,0";"51,9"
"Assegno di ricerca";"0,6";"0,5";"0,7";"-"
"Parasubordinato ";"2,0";"2,1";"1,9";"-"
"Altro autonomo ";"2,2";"3,0";"1,9";"-"
"Senza contratto";"0,9";"2,1";"0,5";"-"
"Diffusione dello smart working (%) ";"39,0";"26,5";"43,3";"30,8"
"Diffusione del part-time (%)";"12,7";"12,3";"12,8";"11,5"
"Numero di ore settimanali di lavoro (medie) ";"36,9";"37,4";"36,8";"25,0"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)(1) "
"Settore di attività (%)";" ";" ";" ";" "
"Pubblico";"22,6";"27,0";"20,9";"83,7"
"Privato";"74,1";"72,1";"75,0";"15,4"
"Non profit";"3,2";"0,8";"4,0";"1,0"
"Ramo di attività economica (%)";" ";" ";" ";" "
"Agricoltura";"1,0";"0,5";"1,2";"-"
"Metalmeccanica e meccanica di precisione";"5,7";"0,9";"7,3";"-"
"Edilizia ";"4,9";"6,5";"4,4";"-"
"Chimica/Energia ";"6,3";"5,9";"6,5";"-"
"Altra industria manifatturiera ";"4,8";"1,5";"6,0";"-"
"Totale industria";"21,8";"14,7";"24,2";"-"
"Commercio ";"8,4";"15,3";"6,0";"1,9"
"Credito, assicurazioni";"5,7";"4,8";"6,1";"-"
"Trasporti, pubblicità, comunicazioni ";"4,6";"1,9";"5,6";"-"
"Consulenze varie ";"16,2";"23,6";"13,7";"1,0"
"Informatica";"4,7";"0,8";"6,0";"-"
"Altri servizi alle imprese";"2,8";"1,8";"3,2";"1,0"
"Pubblica amministrazione, forze armate";"4,0";"5,2";"3,6";"1,9"
"Istruzione e ricerca ";"17,1";"17,0";"16,8";"93,3"
"Sanità";"7,4";"12,5";"5,7";"-"
"Altri servizi ";"6,1";"1,7";"7,6";"1,0"
"Totale servizi";"76,9";"84,6";"74,2";"100,0"
"Area geografica di lavoro (%)";" ";" ";" ";" "
"Nord-Ovest";"29,1";"26,7";"29,9";"26,9"
"Nord-Est";"21,8";"19,1";"22,7";"24,0"
"Centro";"22,3";"22,8";"22,2";"25,0"
"Sud";"16,0";"19,6";"14,8";"18,3"
"Isole";"6,2";"8,1";"5,6";"3,8"
"Estero";"4,4";"3,4";"4,8";"-"
"7. Retribuzione"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)(1) "
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1626";"1667";"1616";"1376"
"Donne";"1397";"1448";"1376";"1347"
"Totale";"1494";"1521";"1485";"1349"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)(1) "
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"55,7";"60,5";"54,7";"68,8"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"14,3";"14,0";"14,5";"9,1"
"Nella posizione lavorativa";"33,2";"35,2";"32,6";"54,5"
"Nelle mansioni svolte";"11,7";"14,9";"11,0";"4,5"
"Nelle competenze professionali";"40,3";"35,4";"41,4";"31,8"
"Sotto altri punti di vista";"0,6";"0,6";"0,6";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"54,7";"66,3";"50,7";"76,9"
"In misura ridotta";"37,2";"28,2";"40,3";"21,2"
"Per niente";"8,1";"5,4";"9,0";"1,9"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" "
"Molto adeguata";"59,3";"63,3";"58,0";"76,0"
"Poco adeguata";"33,6";"30,4";"34,8";"22,1"
"Per niente adeguata";"6,9";"6,2";"7,2";"1,9"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"43,6";"69,8";"34,5";"80,8"
"Non richiesta ma necessaria";"23,4";"13,1";"27,0";"9,6"
"Non richiesta ma utile";"27,1";"13,7";"31,7";"6,7"
"Non richiesta né utile";"5,8";"3,3";"6,6";"1,9"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)(1) "
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"66,1";"81,0";"60,8";"92,2"
"Abbastanza efficace";"25,5";"14,1";"29,5";"5,8"
"Poco/Per nulla efficace";"8,4";"4,9";"9,7";"1,9"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,8";"7,9";"7,8";"8,5"
"Occupati che cercano lavoro (%)";"20,6";"17,2";"21,9";"9,5"
