"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di occupati";"53609";"10799";"40230";"2580"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"16,0";"7,9";"17,5";"26,3"
"Non proseguono il lavoro iniziato prima della laurea";"18,8";"16,0";"19,4";"20,6"
"Hanno iniziato a lavorare dopo la laurea";"65,1";"76,0";"62,9";"53,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"2,1";"3,2";"1,8";"1,5"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"5,3";"5,6";"5,4";"2,4"
"Tempo dalla laurea al reperimento del primo lavoro";"7,4";"8,8";"7,2";"3,9"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" "
"Autonomo ";"16,0";"33,2";"12,4";"0,4"
"Tempo indeterminato ";"41,4";"25,1";"45,6";"43,8"
"Contratti formativi ";"7,1";"6,5";"7,6";"0,1"
"Non standard ";"25,6";"20,9";"25,0";"54,8"
"Parasubordinato ";"2,1";"1,7";"2,4";"0,1"
"Altro autonomo ";"4,2";"6,5";"3,8";"0,0"
"Senza contratto";"3,2";"5,4";"2,8";"0,2"
"Diffusione del part-time (%)";"20,4";"23,0";"20,4";"10,0"
"Numero di ore settimanali di lavoro (medie) ";"36,6";"38,4";"36,8";"25,7"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Settore di attività (%)";" ";" ";" ";" "
"Pubblico";"20,6";"14,3";"18,1";"86,1"
"Privato";"74,6";"84,1";"76,0";"12,8"
"Non profit";"4,6";"1,5";"5,7";"1,0"
"Ramo di attività economica (%)";" ";" ";" ";" "
"Agricoltura";"1,1";"0,7";"1,3";"0,1"
"Metalmeccanica e meccanica di precisione";"5,6";"1,0";"7,2";"0,0"
"Edilizia ";"6,5";"11,1";"5,7";"-"
"Chimica/Energia ";"4,5";"4,2";"4,9";"-"
"Altra industria manifatturiera ";"4,8";"1,6";"6,0";"0,0"
"Totale industria";"21,4";"17,9";"23,7";"0,1"
"Commercio ";"11,2";"20,6";"9,4";"0,4"
"Credito, assicurazioni";"4,8";"4,0";"5,4";"0,0"
"Trasporti, pubblicità, comunicazioni ";"4,7";"1,7";"5,8";"0,1"
"Consulenze varie ";"12,4";"23,5";"10,3";"0,0"
"Informatica";"3,9";"0,5";"5,1";"0,1"
"Altri servizi alle imprese";"2,1";"1,5";"2,4";"-"
"Pubblica amministrazione, forze armate";"3,0";"2,7";"3,2";"1,6"
"Istruzione e ricerca ";"16,5";"3,0";"15,1";"96,1"
"Sanità";"8,4";"18,8";"6,1";"0,1"
"Altri servizi ";"8,5";"3,1";"10,4";"1,1"
"Totale servizi";"75,7";"79,6";"73,1";"99,5"
"Area geografica di lavoro (%)";" ";" ";" ";" "
"Nord-Ovest";"27,0";"25,0";"27,9";"21,5"
"Nord-Est";"21,4";"18,1";"21,8";"27,6"
"Centro";"23,0";"22,7";"22,9";"26,6"
"Sud";"16,7";"19,8";"15,8";"18,7"
"Isole";"6,5";"9,4";"5,9";"5,2"
"Estero";"5,1";"4,6";"5,5";"0,4"
"7. Retribuzione"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1447";"1365";"1466";"1293"
"Donne";"1175";"1173";"1165";"1272"
"Totale";"1283";"1243";"1294";"1273"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"49,6";"49,6";"47,0";"76,6"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"11,9";"13,3";"11,3";"14,6"
"Nella posizione lavorativa";"24,4";"26,4";"22,5";"35,0"
"Nelle mansioni svolte";"10,2";"12,8";"10,4";"6,2"
"Nelle competenze professionali";"52,5";"46,3";"54,6";"43,8"
"Sotto altri punti di vista";"1,1";"1,2";"1,2";"0,4"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"47,2";"59,2";"41,7";"81,0"
"In misura ridotta";"40,8";"31,7";"44,8";"17,1"
"Per niente";"11,8";"8,9";"13,2";"1,7"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" "
"Molto adeguata";"51,2";"52,0";"49,2";"78,0"
"Poco adeguata";"37,9";"37,8";"39,1";"20,3"
"Per niente adeguata";"10,6";"9,7";"11,4";"1,4"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"37,4";"66,8";"26,3";"86,9"
"Non richiesta ma necessaria";"19,0";"10,5";"22,2";"5,0"
"Non richiesta ma utile";"33,2";"15,9";"39,6";"6,7"
"Non richiesta né utile";"10,1";"6,6";"11,6";"1,3"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"58,7";"77,3";"51,3";"95,9"
"Abbastanza efficace";"27,7";"14,0";"33,1";"2,6"
"Poco/Per nulla efficace";"13,5";"8,7";"15,6";"1,5"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,4";"7,4";"7,4";"8,7"
"Occupati che cercano lavoro (%)";"33,6";"33,0";"35,3";"10,3"
"10. Ricerca del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di non occupati che cercano lavoro";"11138";"3619";"7469";"50"
"Non occupati che cercano: ultima iniziativa per cercare lavoro (%)";" ";" ";" ";" "
"Ultimi 15 giorni";"58,0";"51,6";"61,2";"38,0"
"15-30 giorni fa";"17,5";"18,7";"16,8";"30,0"
"1-6 mesi fa";"18,5";"22,6";"16,5";"20,0"
"Oltre 6 mesi fa";"5,2";"6,4";"4,7";"12,0"
"Numero di non occupati che non cercano lavoro";"11599";"6057";"5466";"76"
"Non occupati che non cercano: motivo della non ricerca (%)";" ";" ";" ";" "
"Studio";"80,4";"86,7";"74,3";"21,1"
"In attesa di chiamata dal datore di lavoro ";"7,9";"7,3";"8,2";"30,3"
"Motivi personali";"8,8";"4,4";"13,1";"44,7"
"Mancanza di opportunità lavorative";"1,7";"1,1";"2,3";"-"
"Altro motivo";"1,0";"0,3";"1,6";"1,3"
