FREQ;Frequency;DATA_TYPE;Indicator;MEASURE;Measure (DESC);SEX;Gender;AGE;Age (DESC);EDU_LEV_HIGHEST;Highest level of education attained;Time (TIME_PERIOD);Observation;OBS_STATUS;Observation status
A;Annual;15_EMPL_SQUI;Employed persons aged 15 years and over by level of satisfaction with their work: quite;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2018;59.2;;
A;Annual;15_EMPL_SQUI;Employed persons aged 15 years and over by level of satisfaction with their work: quite;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2019;55.1;;
A;Annual;15_EMPL_SQUI;Employed persons aged 15 years and over by level of satisfaction with their work: quite;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2020;58.4;;
A;Annual;15_EMPL_SQUI;Employed persons aged 15 years and over by level of satisfaction with their work: quite;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2021;58.5;;
A;Annual;15_EMPL_SQUI;Employed persons aged 15 years and over by level of satisfaction with their work: quite;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2022;63.3;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;3;Primary school certificate, no educational degree;2014;27.8;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;3;Primary school certificate, no educational degree;2015;30.9;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;3;Primary school certificate, no educational degree;2016;11;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;3;Primary school certificate, no educational degree;2017;12.2;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;3;Primary school certificate, no educational degree;2018;8.1;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;3;Primary school certificate, no educational degree;2019;0;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;3;Primary school certificate, no educational degree;2020;0;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;3;Primary school certificate, no educational degree;2021;2;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;3;Primary school certificate, no educational degree;2022;21.8;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;4;Lower secondary school certificate;2014;20.2;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;4;Lower secondary school certificate;2015;19.8;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;4;Lower secondary school certificate;2016;25.8;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;4;Lower secondary school certificate;2017;20.1;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;4;Lower secondary school certificate;2018;11.9;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;4;Lower secondary school certificate;2019;9.8;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;4;Lower secondary school certificate;2020;21.5;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;4;Lower secondary school certificate;2021;22.8;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;4;Lower secondary school certificate;2022;13.6;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;7;Upper and post secondary;2014;18.3;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;7;Upper and post secondary;2015;18.2;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;7;Upper and post secondary;2016;16.2;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;7;Upper and post secondary;2017;14.5;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;7;Upper and post secondary;2018;17.2;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;7;Upper and post secondary;2019;14.4;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;7;Upper and post secondary;2020;13.6;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;7;Upper and post secondary;2021;11.8;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;7;Upper and post secondary;2022;10.4;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;11;Tertiary (university, doctoral and specialization courses);2014;19.5;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;11;Tertiary (university, doctoral and specialization courses);2015;13.4;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;11;Tertiary (university, doctoral and specialization courses);2016;16.6;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;11;Tertiary (university, doctoral and specialization courses);2017;22.5;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;11;Tertiary (university, doctoral and specialization courses);2018;8.7;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;11;Tertiary (university, doctoral and specialization courses);2019;13.9;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;11;Tertiary (university, doctoral and specialization courses);2020;2.7;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;11;Tertiary (university, doctoral and specialization courses);2021;11.7;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;11;Tertiary (university, doctoral and specialization courses);2022;6.7;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2014;19;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2015;18.5;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2016;18.3;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2017;16.2;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2018;15.5;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2019;13.4;;
A;Annual;15_EMPL_SNMUC;Employed persons aged 15 years and over by level of satisfaction with their work: not much;HSC;Per 100 people with the same characteristics;9;Total;Y15-24;15-24 years;99;Total;2020;13.9;;
